,text,user_id
147,"I've rented a car several times in many other places before and simply was not prepared at how busy and unprepared this location would be... had I read the reviews here first, I may've known that as it seems not the be an isolated incident, but just how this place functions. Slow. With zero sense of urgency. They are on Hawaii time for sure. When we arrived we were maybe #3 in line, but then we noticed there was only 2 ladies working -- and one of those was working the fast break line... so they had one attendant for all the regular customers. Took us almost an hour and a half to get all squared away here. There are also a couple nuances of renting here that i don't remember dealing with renting from other locations. One of which was that the main driver had to be the one paying - this created a hassle as my BF is typically the main driver, but this is typically part of the expense of the trip I pay for. Never had any issues in the past, but this caused us to have to switch it over to his card and then have to come back when we checked out and wait to have them switch the card back to charge me instead. Also, extra driver is an additional $13/day here... another thing that has seemingly always been free at other places I've rented from before. They also try to really sell that full coverage insurance... we declined as we are covered through our credit cards, but they wouldn't stop pushing and used scare tactics to try to convince us that we weren't really covered through our credit cards like we think. I get it, but really wish they would not push after you willingly decline. They did not have the car we reserved available, so gave us a larger SUV without upcharging, so that was the only positive here. I feel bad for those in line after us... we were #3 in line but it quickly grew to span all the way outside and I can't imagine how long those folks waited...",oxo1EWFAR8nQJoSFvZG6xA
148,"They tout a really good happy hour and margaritas with their signage, so we decided to stop in here before dinner and weren't really impressed. The margaritas were subpar and so were the chips and salsa.. which cost $5. I really don't like places that charge for chips and salsa unless you are a high end mexican restaurant that is serving it with some sort of salsa trio or gauc or something, but $5 is steep for a down home mexican restaurant. The worst part of the experience here was that the bar staff was not friendly. They seemed completely uninterested and that it was a burden when we wanted to order a drinks. We didn't have any food here so I can't speak for that part, but based on the service I would just opt to eat somewhere else altogether anyway.",oxo1EWFAR8nQJoSFvZG6xA
156,"Meh. We ate here mostly because we were tired of seafood and standard bar food, so thought we'd change it up by having pizza and it just so happened to be located in front of our condo, so it was convenient.We sat down right away, but it took the server a solid 10-15 minutes to do even stop by our table after the busser dropped off some waters. The beers were decently priced, but the pizza was over priced for what it was. We had the hawaiian and it is nothing to write home about.. maybe other menu items were good since this place has pretty high reviews but definitely would not recommend going out of your way to have pizza here.",oxo1EWFAR8nQJoSFvZG6xA
174,"We got into town late and we're staying in a hotel a block away. Saw this place out of our window and figured it was easy enough, but honestly there are so many great local restaurants in Portland that there is no reason to eat at a chain.I'll go ahead and cover the food and drinks first. Drinks were actually ok and they have some fun stuff on the menu - though not sure I would come to a bar for juice (like cold pressed juice). They brought a little skillet of biscuits and jam to the table to munch on... but the biscuits were barely warm and hard. I ordered a fried chicken sandwich and it probably ranks as one of the worst I've ever had. I didn't know crispy also meant dry as a bone. It was hard to get down and whatever ""White BBQ"" sauce it was supposed to have on it, it did not. Just bone dry chicken, a tiny pile of shredded lettuce with a little tomato and two tiny pickle slices on an over toasted sesame bun that fell apart as soon as I took a couple bites. I could not eat most of it and instead opted for the fries which were at least edible. As soon as they put our food down another lady rushed to our table and said ""here's the check"".. we both looked at each other a little perplexed and the waitress said ""sorry if you didn't want it yet but someone told me I needed to bring it over""Also, moving onto the ambiance/concept.. it's interesting.. there's a restaurant that's connected to a bowling alley.. and I'm not sure what was in the other entrance, but I'm guessing pool and karaoke. In theory, it's probably a fun place to meet up with a big group. Would not suggest a meal here though unless you're drinking and just want some bar food to nibble on.",oxo1EWFAR8nQJoSFvZG6xA
213,"I'll preface this by saying, maybe I'm biased because I live in Seattle where good seafood is rampant. After getting off our flight and checking into our hotel we headed out in search of a place to eat. Unfortunately a lot of places were slammed due to a conference at the convention center which just so happened to get out for the day, but this place looked cute so we ended up here. We ended up sitting up at the oyster bar and it took quite a while for someone to come give us menus and waters. It was busy, so we let it go. We were honestly not looking to have a fancy dinner, but cracked open the menu and was flabbergasted at the prices for even some of the more basic things like fish and chips. I'm usually not that much of a cheapskate, but I found myself in a situation where I was looking for the cheapest thing on the menu... so I went with the fish tacos and my boyfriend went with the fish and chips... yep, the $30 fish and chips. Maybe this is the upcharge for shipping fish in, but even the nicest seafood places in Seattle do not charge that much for the most basic fish and chips. This was cod we're talking about. Not halibut or a more expensive cut of fish. I also got 2 fish tacos that barely had any fish in them but were accompanied by a nice piece of black hair! I would've sent it back had I not bitten into the hair pretty much my second to last bite. Disgusting. The food also took forever, so there's that. Would not return here again. I suppose if you're actually looking to come and have oysters you can find some nice ones here, but it was a mistake as we were just looking to have some basic food - had much better fish tacos else where in SD for much cheaper too :)",oxo1EWFAR8nQJoSFvZG6xA
216,"It's been 3 years since I did my last review of this place, so I figured it was time for an update. I finally ventured back here recently in hopes that it may've improved over the last 3 years but it's somehow gotten worse. I don't know how this place is still open, honestly. It was a nice day and it was steady - but not slammed.. quite a few open tables outside. We were seated and I knew we were going to be in for it the first thing we heard were the people right next to us getting served their food and the waitress asked ""is your drink better"" and the lady responded, ""yes, it's a little better and it taste like maybe they put some alcohol in it this time"" the waiter then put their food down and asked if they needed anything else in which the guy then responded, ""well.. yeah some silverware or maybe some napkins would be nice?"" At this point I'm looking at my BF and saying ""I told you think place hasn't changed"", but I try to stay positive. It takes a while for someone to come by, she eventually takes our drink orders, and that's when I hear the lady behind us again -- she's pissed now. She's flagged the waitress down and says, ""you know what, we waited a REALLY long time for our food and it's cold. Can you just give us our check and take the food back, we don't have time to do this"". GREAT. Another table gets seated next to us and is asking the waitress about happy hour drinks --- wait, it's happy hour? No one informed us or gave us that menu. Why is that not advertised? Once we find this out my BF orders a drink off the happy hour menu. He takes a sip and realizes it's def not what he ordered.. waitress apologizes, brings him the right drink and proceeds to serve the drink my BF just took a sip of to the guy a couple tables away. That sucks. We FINALLLLLLY get our fish and chips a mere half an hour later and surprise - not only does it look like something you'd get at a shitty food court on the ferry (honestly, I've seen frozen boxed battered fish that you can cook in your over at home that looks better) but shocker it's barely lukewarm. That lady behind us was right - what the literal F. How does food take that long and come out COLD? To top it off it took the waitress an extra 10+ mins to run our card cause she ""dropped all the cards she took"" and the next day after checking our bank account found that they charged us twice and we had to dispute it with the bank. To think this whole experience was close to $60 blows my mind. I never wish bad upon businesses, but I hope this place shuts it's doors and that someone who can run a restaurant opens something better in this prime real estate. This place has been riding the struggle bus for years and it's unacceptable at this point.",oxo1EWFAR8nQJoSFvZG6xA
217,"I really love both the el sombrero and the spicy kale Caesar, but the prices are like WTF. I ordered a regular sized el sombrero today and I swear this used to cost closer to 8$ but it cost me 13$ today. For. A. Salad. While it is good, it is also nothing that elaborate you couldn't recreate on your own - which is exactly what I'll be doing from now on. The only thing that might take some practice on recreating is the dressing.   Also the service was shitty and several of the people making the salads were coughing and hacking into their sleeves as they were handling the food. I was trying to catch a bus, and the guy scanned my card, handed it back to me and turned around and started talking, he turned back around to see I was still standing there and just stared at me and I said ""umm, I need to sign for it"" he looked dumbfounded ""ohhhhh I thought I like already had you do that"" proceeded to flip the iPad around to me upside down and went on to chatting with his coworkers again. Nice to see that minimum wage increase in Seattle for food service workers is going a long way.....",oxo1EWFAR8nQJoSFvZG6xA
224,"I wanted to like this place, but this is the worst service I've ever had at a bar in a really, really long time. We were here on a Sunday night and there was only one bartender working - not sure if that's normal for them or not, I'm hoping not and that service might be better on another night and we just struck out. We chose to sit at the bar top because typically service is a little quicker when you're sitting at the bar. Not the case. We were ignored for a good 15 mins. I'm not over-exaggerating. We smiled and tried to make small talk with the bartender a couple times as he came over to rinse out his shaker at the sink that we were sitting in front of to sort of hint, ""hi, we're here and we'd love to order a drink"" and we got no where. At about the 15 min mark he finally asked us what we wanted to drink. Didn't get a ""sorry for the wait"" or ""thanks for your patience"", but hey whatever. Cue waiting 15 more minutes to receive our drinks. Oh, then he serves me a drink that is not what I ordered. Cue me waiting 10 more minutes to receive the correct drink. I didn't get a sorry once. No discount. No, go ahead and keep the wrong drink if you want to take that one too. Nothing. The drinks were ok (and expensive), but nothing to write home about. We're so glad our tiki bar expectations were exceeded the next night when we found Bootlegger Tiki at the other end of Palm Canyon Drive though. Much more quality drinks and the bartenders were some of our favorite during our entire trip!",oxo1EWFAR8nQJoSFvZG6xA
226,"I really want to like the place. The design and the concept are right up the trendy alley, but I've been a couple times now for both HH and dinner and have felt let down everytime, especially for the prices. For HH I've had the fried chicken sliders - pretty mediocre and for a little bit more you can go down the street to El Gaucho and have some pretty good ones. Chickpea fries - flat out gross. I like hummus and don't have anything against chickpeas but this just did not hit the spot for me. They kind of look like those thick french toast sticks, except all chick pea. It was too mealy and soggy for me. I tried to stomach more than one and then when the server took the place and asked if we wanted to box and I said no, he replied ""what did you not like them?""... obvi not dude, no need to call it out. I would've rather had the side of mac'n'cheese, but when we got there at the beginning of HH on sunday they were ""out"". Must've sold them all at brunch? I guess they must make a set amount and can't boil anymore pasta and melt anymore cheese for the rest of the day?I came here with a big, corporate group for dinner as well during the week. We ordered a lot of drinks, and several appetizers to share with the table. Since it was a business dinner, we were there for a while, eating/drinking, and chatting. The main waitress was nice, but it didn't take long for the servers and runners helping her to look as if they were becoming annoyed with us. By dessert, there was flat out just running the desserts to the table and throwing them down, not saying what they were or leaving the correct dessert in front of the person who ordered it. I get it, serving large parties is probably not the most fun thing to do when there's multiple people shouting different appetizers and drinks at you but they guy who brought the dessert out could've saved the eye roll for when he go back to the kitchen or at least until he turned his back.",oxo1EWFAR8nQJoSFvZG6xA
244,"I reached out to their ""contact"" section on their website to give them a chance to offer up at least an apology after a terrible brunch experience and never heard back. I'll spare everyone the details, but long story short we arrived on Sunday morning to try brunch during a Seahawks game. We arrived 30 mins before the game started and put our order in promptly. We did not receive our meal until half time because their ""computer system was down"" and our waitress who walked by multiple times during this nearly 2 our time period (as we were seated right next to the server station) failed to notice we didn't have our food until nearly an hour in and finally went to check only to say ""oh it looks like the order didn't go through do you want to order again?"".... When our order was finally brought out only 1 meal was brought out the 2nd meal did not come out until almost 15 minutes later and part of that meal was missing. As a sorry, they gave us one of the meals for free....... needless to say after being frequent visitors of the happy hour here, we will not be back anytime soon.",oxo1EWFAR8nQJoSFvZG6xA
246,"We were trying to grab a bite for breakfast at the place next door, but there was a line and we didn't feel like waiting so we found ourselves here. Maybe their mexican food is better, but the breakfast was pretty mediocre and greasy when it came to the american choices on the menu. It was pretty cheap and the staff was all friendly though! Definitely wouldn't be my first breakfast choice if I was in the area though.",oxo1EWFAR8nQJoSFvZG6xA
250,"I've never seen an ihop express, but we needed a quick breakfast before heading to the airport. It's small inside, but basically you order at the counter, they give you a number to set on your table and they bring out your food. I got the stuffed french toast combo. Their commercials with oozing cream cheese stuffed french toast is not what came out. The middle of the french toast was still cold. Nothing like hard french toast and icy frosting in the middle. I chose not to say anything because this doesn't seem like the place you should say anything unless you want them to spit in your food. I'm just glad that it wasn't a meat or egg product that was cold. If you have the time, don't waste your money here. We had an excellent breakfast a couple days earlier at the Richard Walker Pancake House a few blocks away and paid less than what we paid for cold food.",oxo1EWFAR8nQJoSFvZG6xA
254,"After a day of travel and eating during off hours, my boyfriend and I found ourselves hungry at about 10:30pm on a weeknight and staying next door at the Hyatt. We found that everything closes up shop in that area around 10p or 11p and we didn't want to pay for overpriced room service, so we booked it across the street because we knew this place closed at 11.We walked in at about 10:45 and I acknowledged we knew they were getting ready to close and asked if they were still accepting tables. The bar was already closed otherwise we would've grabbed a seat there because I realize it's super annoying to show up at a restaurant when all the workers want to do is wrap it up for the night. The 2 hostesses reluctantly and with an attitude told us they sat people until 11pm. They then whispered to themselves and when the girl started to walk us back to the table the other one replied, ""don't do it! you can't!"". The seated us in the very back corner of the restaurant away from all the rest of the tables of people still there eating. 10 minutes go by and no waters, no silverware, nothing. Finally a server that had walked by a couple times asked us if we had been helped and when we told her no she apologized, said that was horrible service and that it wasn't technically her table but that she would of course help us. She got us waters, took our order, and then came back and said even though their bread was supposed to be done for the night that she found a different type of loaf and heated that up for us if that was ok. About 10 minutes later the lady who was supposed to be our waitress showed up and apologized and advised she was on her smoke break and that no she had no idea that anyone had been seated in her section. That explains what the 2 hostesses were whispering about. We appreciated her apologizing as I'm sure it was not entirely her fault and it seemed as though the 2 hostesses threw her under the bus by putting us in her section when they knew she was on her break. She was fine the rest of the time and the other lady who had stepped in to wait on us also came by to check on us again. Really disappointed that I don't remember her name because that's an example of a great worker who takes on a table that isn't even her's at the end of a night.",oxo1EWFAR8nQJoSFvZG6xA
262,"This is a cute little place and was pretty busy late on a Friday night when we got into town. Due to the fact they were so busy, the service seemed to suffer. When we first arrived our server seemed to be attentive, but when he picked up the table next to us that seemed to really slow him down for some unknown reason. He walked by several times as he was helping the other table and we were already done with our food and had clearly put the napkins on the plates and shoved them to the edge of the table to signify we were done... but he just continued to go about his business. Same with the bill. When we finally got it, we stuck our card it in right away but it sat on the edge of the table for upwards of 15 minutes as he walked back and forth. This wasn't really the standard mexican restaurant we were expecting. There were chips and salsa, but those were extra. My boyfriend got enchiladas but that came with nothing else - no rice or any form of beans. Definitely not what we expected for the prices they are charging. I found the food to be totally underwhelming. I understand that it's a small tourist town and maybe I've just become spoiled living in Seattle where there's an array of great places to eat, but I am really surprised at all the comments that say they were blown away by the food here. If we're ever back in town I would stop in here for a drink, but wouldn't be my first choice to eat.",oxo1EWFAR8nQJoSFvZG6xA
263,"I decided to stray from the chain pizza joints and try this place one night. We ordered takeout. It was cute inside, the couple running the place seemed sweet, but I was unfortunately extremely underwhelmed by my pizza.I got a standard pepperoni pizza and we didn't finish more than 2 small slices because the cheese on it was so thick it was stomach ache worthy. It was literally at least a quarter of an inch thick.  We stuck it in the fridge and figured maybe we'd like it for left overs but just couldn't do it. We were snapping the slices of pizza in half because the cheese was hardened and thick. Don't get me wrong, I like cheese but the amount on here was almost outrageous.",oxo1EWFAR8nQJoSFvZG6xA
266,"I've worked in the area for a number of years now, so it's exciting to see new restaurants going in as the food variety in the area has been rather lackluster. I find myself at Pesos for lunch or happy hour quite a bit, so I thought this place would be a great alternative. I suppose my review below should be taken with a grain of margarita salt as this place has only been opened about a week or two and clearly has kinks to work out like any new restaurant.We arrived at about 5pm tonight (friday) in an attempt to grab HH. There was not an open seat or even any standing room in the bar, so we opted for a seat outside. The hostess was prompt and friendly and water and chips/salsa arrived right away, but that's where the good service ended. We both ordered margaritas which took nearly 10-15 mins to arrive and were brought out by someone other than our waitress... she showed back up about 5 minutes after to take our food order (so, 15/20ish mins after we sat down) and then awkwardly asked if we were going to want another drink soon. We had only taken a couple sips since they had nearly just arrived, but my boyfriend shrugged and said that he probably eventually would, and she replied, ""ok because I accidentally ordered an extra so it will probably be out in a minute"".... After that we didn't really see her and the couple times she did pass she did not offer to refill empty water or chips. When food finally arrived it was served by a man who looked like he could've been a supervisor or manager, but the orders were wrong. My boyfriend got his food (with the wrong sides) but they did not have mine. He came back about 5 mins later with my plate and my boyfriends correct meal. Literally every single table around us was getting incorrect orders. It eventually became a game of going table to table and saying, ""did someone out here order *insert name of dish here*"".... The ladies at the table behind us ordered drinks that never arrived so one finally went in and asked where they were, 10 minutes later still nothing so they mentioned it to the waitress as she walked by, but to no avail by the time we left these ladies were still drinkless. Oh, and the food was not good. They gave me about a 2 tablespoons full of rice and the chimichanga was soggy. My boyfriend said his sweet potato fries were cold upon arrival. We were a little shocked when we got the bill and it was nearly $60. That second round that the waitress ""accidentally"" ordered? Yep, we were charged for it. I did not voice my complaints or ask for a manager because the waitress was clearly struggling and seemed to be in a daze so I didn't want to make a scene or give her a harder time than she was already having.... but I am surprised that the meals seemed to be served by the manager helping out who should've taken note to the fact that things were clearly a hot mess and probably should've taken the initiative to comp or discount... or at least apologize! I'll let this place work it's problems out before I return because it certainly was not a $60 experience. The inside of the restaurant is beautifully designed though... for what that's worth.",oxo1EWFAR8nQJoSFvZG6xA
269,"I work in the area and since we always usually end up at one of the same 3 places for lunch, we decided to branch out and try this place even though it was a couple blocks further away from the office than we usually venture. I will start by saying that we had a large group... there were about 10 of us. None the less, service was slowwww. They were having issues with their soda machine that day so drinks were coming out strange. We had all ordered burgers or sandwiches and the majority of the group got their food at once, 1 of my coworkers got hers about 5ish minutes after, but still no sign of my food. The waitress noticed that she was short a meal (mine) and said that it was actually coming right now. Somewhat of a lie because we happened to be sitting right next to the kitchen where I heard her tell the cook that they needed to make another burger because they didn't make enough. My hungry coworkers picked at their food for another 15 minutes before mine arrived because they didn't want to be rude since I was the lone ranger without a meal. How awkward. Then when my food did arrive I was unimpressed. The burger was just ok and they gave me about 7 tater tots. I probably sound like a fatty for expecting more, but really?  I don't think our group or myself personally will be returning here anytime soon.",oxo1EWFAR8nQJoSFvZG6xA
278,"I came here for breakfast on a weekday morning before my flight out of town. Aimlessly wandering around, my boyfriend and I stumbled upon this place and decided we were tired of walking and didn't know where else to go. We were promptly seated but it took a good 10 minutes before anyone came by to take our order, let alone say hi and see if we wanted beverages. I ordered the waffle which came with some eggs. Just as our waiter finished taking our order the table next to us got their food. Two of the gals at the that table were in the restroom, but their other two friends were there so the waiter put everyone food on the table. Upon arriving back one of the girls sat down and said, ""what is this? I didn't order a waffle"". They flagged down the waiter, who took it back and gave her the pancakes she ordered instead. Well a good 15 minutes later, our order arrives and low and behold... guess they decided to give me the waffle that was rejected by the girl at the other table. One, that just sort of weirds me out even if the girl didn't touch it, but two - the waffle and syrup were completely cold as it had clearly been sitting for nearly 20 minutes. I didn't say anything because it was the kind of establishment where you're not sure if they'll spit in your food. Also, though the waffle was large - it looked and tasted like 4 eggo waffles that they pushed together. I know it's just a little sidewalk cafe as the name states... but for the price you pay, the food is not worth it. Great place to sit and watch a bum shoot up at 9am on a Tuesday though!",oxo1EWFAR8nQJoSFvZG6xA
