,user_id,user_cl
44,iTTUTdjdXldKjErPeCWsYA,6
45,loIgOJbwgu0b8nW8DcVG8w,6
46,M55v_rCB4Ii7ntwaq-lLRA,9
47,_efP61KpqeC9K4TX0aqwyw,1
48,zxn9ZlFJKTTddjF6Du7rRA,3
49,xyraFkKOEZHVD-dGW0vTkg,6
50,6GmsDhXJCS2aPirVjWvd4Q,6
51,Y5b286tescycns--SAZ-yg,1
52,D5uMny1pAVWhNGDvFDPp8g,8
53,o8Lpbd9-X4Ep3z-gcVdNSw,1
54,HoikILIsY79TWCf62ecKQA,6
55,MeDuKsZcnI3IU2g7OlV-hQ,5
56,M55v_rCB4Ii7ntwaq-lLRA,1
57,xZmhLUQOVw9KJX5w6A9BvQ,1
58,kxOraNqzwHwnkqgdpdV2xA,5
59,7Zk12TsWz5CJgRERnICPRw,4
60,MGZ9PQ_U_N9K0qptHeXgmQ,1
61,dcr2jXJhG05_4f8ngJ1RCQ,9
62,uyD3PwCbTm8nuP-z6a_EQg,6
63,3DLg6FHxYaueFO-47can0w,1
64,kxOraNqzwHwnkqgdpdV2xA,3
65,iJjKL0KxMZJCb8MmAsERvA,1
66,havBggvuzfE6IPfkT-njbg,6
67,uHtu4wW3WdygQtNMOmlILQ,1
68,ZWm9XygjvxHOBeL1JRhl4Q,1
69,SPYJt-1XF4SlPaZgd04QRQ,9
70,pjQopHxykzK_J9io9BBBMg,9
71,N--9b8aZseeH1Q_HRIF5mw,6
72,oxo1EWFAR8nQJoSFvZG6xA,1
73,_sCXKzDT9rkVuZbbiPpWnA,1
74,a2osd_dBVDYaO-kL_Whjng,1
75,_sCXKzDT9rkVuZbbiPpWnA,6
76,Hxp9KgF2TPOln6bSAf2aBA,3
77,2wdhN8Y2EJRswvkduFxnOQ,1
78,PUTDPPO7hEICLQDEGSRBhw,3
79,ZSGwtoxE-BXCAzUoENiX1w,6
80,lprDtZFUDrGCIvLqfK8wAg,1
81,RNbgsPuTi6UKh2D-W9xIig,1
82,WoeLzkLB1WkLG24AVfOfJg,9
83,PMEuAH3_H7qYNzCf9Nfpqg,3
84,uHtu4wW3WdygQtNMOmlILQ,3
85,pQTfm_oUSiHp8-l0ZaEb-w,1
86,9miULvPHAQHM_7j5RJ5dMg,3
87,ylWesf53Vr8r3QcIgmPl3g,1
88,3HgHp-SWWhauBxhK7K_skw,5
89,IjD-aHzIdFXWUGCaKCMZKw,8
90,PUTDPPO7hEICLQDEGSRBhw,1
91,6XwhYkbgsPZNQLLvTWIc3Q,8
92,aWejHqThyw_ODaEMB4TdWA,8
93,RNbgsPuTi6UKh2D-W9xIig,3
94,VpbfazUJdbTf7BtvTiq0nQ,1
95,K_DZ_mUkIvgK4FCv6Hwygw,5
96,pjQopHxykzK_J9io9BBBMg,1
97,el0Kn3aNVz0c0lz_hKRmQg,3
98,uHtu4wW3WdygQtNMOmlILQ,4
99,EiXWvidlWeUA65WVdeWjkg,6
100,K_DZ_mUkIvgK4FCv6Hwygw,1
101,o8Lpbd9-X4Ep3z-gcVdNSw,6
102,loIgOJbwgu0b8nW8DcVG8w,9
103,rMtatrglYX8sE2nGBFvCKg,3
104,BFBn44X2gnL1f8qSRT0H-Q,1
105,zriuvFjGFSjvER9OgFJCew,3
106,MVb93PtUPbSsVFa-3prvcg,1
107,krIvby3nPkonG2ZC1MDEzQ,1
108,K_DZ_mUkIvgK4FCv6Hwygw,0
109,oxo1EWFAR8nQJoSFvZG6xA,9
110,MeDuKsZcnI3IU2g7OlV-hQ,3
111,oxo1EWFAR8nQJoSFvZG6xA,8
112,PUTDPPO7hEICLQDEGSRBhw,4
113,se6WFxbHBQThIa0qoof-9w,1
114,MeDuKsZcnI3IU2g7OlV-hQ,8
115,uyD3PwCbTm8nuP-z6a_EQg,1
116,iTTUTdjdXldKjErPeCWsYA,1
117,3kMjMzU5N20tTYg3p_o0bQ,3
118,r1iDMzd3dG5q-R-jQRJZCw,6
119,vEqjds5IBlPPnyTrW_fWEg,1
120,6GmsDhXJCS2aPirVjWvd4Q,1
121,ZpQprwVlYpRQDkq3khmvUg,4
122,el0Kn3aNVz0c0lz_hKRmQg,5
123,F2fLxhOhJefL2RPdzsz3SQ,1
124,SPYJt-1XF4SlPaZgd04QRQ,6
125,o5idGYF_nt2H3cADASi2YA,6
126,zxn9ZlFJKTTddjF6Du7rRA,5
127,el0Kn3aNVz0c0lz_hKRmQg,4
128,oxo1EWFAR8nQJoSFvZG6xA,3
129,WoeLzkLB1WkLG24AVfOfJg,6
130,3B88XMVFwWVA9hvumgU2Xg,1
131,kxOraNqzwHwnkqgdpdV2xA,1
132,hTj02lFMGQveiLBMK-yjfg,3
133,IjD-aHzIdFXWUGCaKCMZKw,3
134,-Yb1srF4RYtpn-6Yp8ojRg,6
135,aWejHqThyw_ODaEMB4TdWA,1
136,D5uMny1pAVWhNGDvFDPp8g,5
137,6XwhYkbgsPZNQLLvTWIc3Q,1
138,havBggvuzfE6IPfkT-njbg,0
139,aU1N3Lr4ojXrKBIG1Kpp8g,5
140,3B88XMVFwWVA9hvumgU2Xg,6
141,1SVDSLiWxbWmBjenfDQkbA,1
142,havBggvuzfE6IPfkT-njbg,3
143,MVb93PtUPbSsVFa-3prvcg,5
144,dcr2jXJhG05_4f8ngJ1RCQ,4
145,3kMjMzU5N20tTYg3p_o0bQ,1
146,Re5H1w9VR-YqlKL-ydOlOg,6
147,7Zk12TsWz5CJgRERnICPRw,6
148,q2KEuDWUM8_ErdhZakos8A,1
149,Hxp9KgF2TPOln6bSAf2aBA,1
150,AZnc8d0U87z8klVs9r_mMw,1
151,xZmhLUQOVw9KJX5w6A9BvQ,3
152,MeDuKsZcnI3IU2g7OlV-hQ,9
153,PUTDPPO7hEICLQDEGSRBhw,5
154,_efP61KpqeC9K4TX0aqwyw,3
155,6XwhYkbgsPZNQLLvTWIc3Q,6
156,91ECzjsMpfl7-40m7AcDFw,5
157,6XwhYkbgsPZNQLLvTWIc3Q,3
158,Ry_LUa1dtfuuEW_zQ1jm2Q,5
159,HLavEqSuWt1FvUE8tSgwUw,1
160,3HgHp-SWWhauBxhK7K_skw,9
161,Y5b286tescycns--SAZ-yg,5
162,pQTfm_oUSiHp8-l0ZaEb-w,5
163,9miULvPHAQHM_7j5RJ5dMg,5
164,PUTDPPO7hEICLQDEGSRBhw,0
165,KbU6Q0oy5X2mTShnRXiggg,8
166,ooBZ3DLmm9vtImf_EbQgJA,8
167,MRV6ZkVAGJvhwF7c9vTTKg,6
168,D5uMny1pAVWhNGDvFDPp8g,4
169,iJjKL0KxMZJCb8MmAsERvA,6
170,MGZ9PQ_U_N9K0qptHeXgmQ,6
171,h59iX3YOfP1laPF000BV0Q,1
172,3HgHp-SWWhauBxhK7K_skw,1
173,MeDuKsZcnI3IU2g7OlV-hQ,6
174,DVHeHJWyDetbsfVKre886A,3
175,aU1N3Lr4ojXrKBIG1Kpp8g,0
176,aU1N3Lr4ojXrKBIG1Kpp8g,4
177,1SVDSLiWxbWmBjenfDQkbA,5
178,ZpQprwVlYpRQDkq3khmvUg,1
179,DVHeHJWyDetbsfVKre886A,5
180,2wdhN8Y2EJRswvkduFxnOQ,8
181,IjD-aHzIdFXWUGCaKCMZKw,1
182,dcr2jXJhG05_4f8ngJ1RCQ,1
183,f9cENl1V9ZwsQykBDBKS7A,1
184,q2KEuDWUM8_ErdhZakos8A,6
185,pgR53zGcz0ify6XFTobsag,6
186,2wdhN8Y2EJRswvkduFxnOQ,6
187,pjQopHxykzK_J9io9BBBMg,6
188,_efP61KpqeC9K4TX0aqwyw,4
189,pjQopHxykzK_J9io9BBBMg,5
190,IjD-aHzIdFXWUGCaKCMZKw,0
191,D5uMny1pAVWhNGDvFDPp8g,1
192,o5idGYF_nt2H3cADASi2YA,1
193,JWkQkm37X-DAboQX6zjT8Q,6
194,Hxp9KgF2TPOln6bSAf2aBA,5
195,oxo1EWFAR8nQJoSFvZG6xA,0
196,a2osd_dBVDYaO-kL_Whjng,5
197,d4e0NC-XTUYyMj63eSTlQg,1
198,kxOraNqzwHwnkqgdpdV2xA,6
199,otIo6x5f2P68fhFoz_6GgQ,1
200,_efP61KpqeC9K4TX0aqwyw,6
201,WoeLzkLB1WkLG24AVfOfJg,1
202,loIgOJbwgu0b8nW8DcVG8w,4
203,EiXWvidlWeUA65WVdeWjkg,1
204,Ry_LUa1dtfuuEW_zQ1jm2Q,6
205,DkMklS87-xfxyyWyC-jwVg,1
206,o5idGYF_nt2H3cADASi2YA,9
207,oxo1EWFAR8nQJoSFvZG6xA,6
208,aWejHqThyw_ODaEMB4TdWA,6
209,xyraFkKOEZHVD-dGW0vTkg,5
210,K_DZ_mUkIvgK4FCv6Hwygw,3
211,h59iX3YOfP1laPF000BV0Q,9
212,zxn9ZlFJKTTddjF6Du7rRA,6
213,9QcFe5myok5jYUwTpEeuxg,1
214,Y5b286tescycns--SAZ-yg,8
215,MVb93PtUPbSsVFa-3prvcg,8
216,MVb93PtUPbSsVFa-3prvcg,6
217,7Zk12TsWz5CJgRERnICPRw,3
218,RNbgsPuTi6UKh2D-W9xIig,6
219,91ECzjsMpfl7-40m7AcDFw,4
220,HoikILIsY79TWCf62ecKQA,0
221,uyD3PwCbTm8nuP-z6a_EQg,0
222,havBggvuzfE6IPfkT-njbg,9
223,iJjKL0KxMZJCb8MmAsERvA,9
224,Hxp9KgF2TPOln6bSAf2aBA,9
225,se6WFxbHBQThIa0qoof-9w,5
226,o5idGYF_nt2H3cADASi2YA,5
227,loIgOJbwgu0b8nW8DcVG8w,1
228,DkMklS87-xfxyyWyC-jwVg,6
229,K_DZ_mUkIvgK4FCv6Hwygw,6
230,dcr2jXJhG05_4f8ngJ1RCQ,3
231,DP4BchE8S9BMxsh3lcBTrQ,1
232,Hxp9KgF2TPOln6bSAf2aBA,6
233,ZWm9XygjvxHOBeL1JRhl4Q,5
234,q2KEuDWUM8_ErdhZakos8A,8
235,-Yb1srF4RYtpn-6Yp8ojRg,1
236,Y5b286tescycns--SAZ-yg,3
237,ZWm9XygjvxHOBeL1JRhl4Q,6
238,rMtatrglYX8sE2nGBFvCKg,5
239,SPYJt-1XF4SlPaZgd04QRQ,1
240,ZWm9XygjvxHOBeL1JRhl4Q,4
241,aU1N3Lr4ojXrKBIG1Kpp8g,8
242,_efP61KpqeC9K4TX0aqwyw,5
243,WoeLzkLB1WkLG24AVfOfJg,4
244,ZSGwtoxE-BXCAzUoENiX1w,1
245,Ry_LUa1dtfuuEW_zQ1jm2Q,0
246,_efP61KpqeC9K4TX0aqwyw,8
247,RNbgsPuTi6UKh2D-W9xIig,8
248,hTj02lFMGQveiLBMK-yjfg,8
249,se6WFxbHBQThIa0qoof-9w,6
250,MVb93PtUPbSsVFa-3prvcg,9
251,IjD-aHzIdFXWUGCaKCMZKw,6
252,HoikILIsY79TWCf62ecKQA,1
253,MVb93PtUPbSsVFa-3prvcg,3
254,rMtatrglYX8sE2nGBFvCKg,1
255,MeDuKsZcnI3IU2g7OlV-hQ,0
256,zMKWSl7SxxPW3nidytb91g,6
257,AO5YCjXcqgGrw_09M3ORIA,1
258,_efP61KpqeC9K4TX0aqwyw,0
259,loIgOJbwgu0b8nW8DcVG8w,0
260,pjQopHxykzK_J9io9BBBMg,3
261,zriuvFjGFSjvER9OgFJCew,8
262,Ry_LUa1dtfuuEW_zQ1jm2Q,3
263,1SVDSLiWxbWmBjenfDQkbA,6
264,h59iX3YOfP1laPF000BV0Q,5
265,D5uMny1pAVWhNGDvFDPp8g,9
266,-KlnVOvjklQn5OpTbxFGzA,1
267,MGZ9PQ_U_N9K0qptHeXgmQ,3
268,9miULvPHAQHM_7j5RJ5dMg,6
269,xZmhLUQOVw9KJX5w6A9BvQ,5
270,3kMjMzU5N20tTYg3p_o0bQ,6
271,_3KTfz0hcPl_yq4jOyOPiA,6
272,uHtu4wW3WdygQtNMOmlILQ,6
273,aU1N3Lr4ojXrKBIG1Kpp8g,3
274,3kMjMzU5N20tTYg3p_o0bQ,0
275,MRV6ZkVAGJvhwF7c9vTTKg,1
276,BFBn44X2gnL1f8qSRT0H-Q,3
277,WoeLzkLB1WkLG24AVfOfJg,8
278,WoeLzkLB1WkLG24AVfOfJg,3
279,ZWm9XygjvxHOBeL1JRhl4Q,0
280,o8Lpbd9-X4Ep3z-gcVdNSw,5
281,fJPA8p5TXvbaVNYSbOgtng,5
282,pQTfm_oUSiHp8-l0ZaEb-w,6
283,DjJxgJ5KrjL7825xEKEqWQ,6
284,-Yb1srF4RYtpn-6Yp8ojRg,3
285,Np9_vlzIcSOeOdHpnZA42Q,5
286,D5uMny1pAVWhNGDvFDPp8g,6
287,r1iDMzd3dG5q-R-jQRJZCw,1
288,aU1N3Lr4ojXrKBIG1Kpp8g,1
289,rqlngRO2Hj0sX9WpEQ_vbg,6
290,el0Kn3aNVz0c0lz_hKRmQg,1
291,7Zk12TsWz5CJgRERnICPRw,1
292,RfzyuSAjW-8gr7DWX-AUAQ,8
293,sjaSWaMdwpbozpwUotcwZg,1
294,pgR53zGcz0ify6XFTobsag,1
295,el0Kn3aNVz0c0lz_hKRmQg,6
296,uyD3PwCbTm8nuP-z6a_EQg,3
297,uHtu4wW3WdygQtNMOmlILQ,5
298,AZnc8d0U87z8klVs9r_mMw,6
299,zxn9ZlFJKTTddjF6Du7rRA,1
300,RfzyuSAjW-8gr7DWX-AUAQ,3
301,ZWm9XygjvxHOBeL1JRhl4Q,9
302,6XwhYkbgsPZNQLLvTWIc3Q,5
303,RfzyuSAjW-8gr7DWX-AUAQ,9
304,HoikILIsY79TWCf62ecKQA,9
305,uyD3PwCbTm8nuP-z6a_EQg,5
306,_3KTfz0hcPl_yq4jOyOPiA,1
307,IjD-aHzIdFXWUGCaKCMZKw,9
308,KbU6Q0oy5X2mTShnRXiggg,6
309,ZpQprwVlYpRQDkq3khmvUg,9
310,loIgOJbwgu0b8nW8DcVG8w,3
311,-Yb1srF4RYtpn-6Yp8ojRg,0
312,oxo1EWFAR8nQJoSFvZG6xA,5
313,1Vq3xObhRXBU8gnPIN9jsQ,1
314,o8Lpbd9-X4Ep3z-gcVdNSw,0
315,rMtatrglYX8sE2nGBFvCKg,6
316,WoeLzkLB1WkLG24AVfOfJg,5
317,ZWm9XygjvxHOBeL1JRhl4Q,3
318,zMKWSl7SxxPW3nidytb91g,1
319,zMKWSl7SxxPW3nidytb91g,5
